Quận,Loại hình nhà ở,Giấy tờ pháp lý,ViTriXa_km,TuoiNha,Số tầng,Số phòng ngủ,Diện tích_m2,Giá_m2
Quận Tây Hồ,Penthouse,Đã có sổ,5.3,23,4,3,138,169.9
Quận Long Biên,Chung cư,Sổ hồng,4.4,25,17,1,65,132.1
Quận Thanh Xuân,Penthouse,Đã có sổ,2.9,30,25,1,100,159.5
Quận Cầu Giấy,Chung cư,Sổ hồng,9,26,17,4,137,134.3
Quận Hai Bà Trưng,Chung cư,Đã có sổ,7.6,27,4,4,93,139.3
Quận Hà Đông,Chung cư,Sổ hồng,7.5,30,23,4,120,122.2
Quận Cầu Giấy,Chung cư,Sổ hồng,5.4,10,25,4,127,156.6
Quận Hà Đông,Chung cư,Đã có sổ,9,29,31,3,89,132.9
Quận Cầu Giấy,Chung cư,Sổ hồng,11.2,12,33,1,108,136.1
Quận Tây Hồ,Chung cư,Sổ hồng,12.4,11,24,3,76,139.1
Quận Thanh Xuân,Chung cư,Sổ hồng,4.8,29,8,3,123,152.9
Quận Hai Bà Trưng,Chung cư,Sổ hồng,14.7,8,14,1,90,110.9
Quận Thanh Xuân,Chung cư,Đã có sổ,1,38,28,3,88,146.4
Quận Đống Đa,Duplex,Sổ hồng,15.1,3,12,5,146,126.7
Quận Đống Đa,Chung cư,Đã có sổ,6,12,14,2,81,146.8
Quận Thanh Xuân,Penthouse,Sổ hồng,7.7,16,17,2,79,150.1
Quận Tây Hồ,Chung cư,Sổ hồng,11.8,0,20,2,128,141.1
Quận Hai Bà Trưng,Penthouse,Sổ hồng,12.4,15,7,3,146,145.4
Quận Tây Hồ,Chung cư,Sổ hồng,8.7,9,17,3,94,144.1
Quận Long Biên,Penthouse,Sổ hồng,18.8,1,30,1,99,114.5
Quận Đống Đa,Chung cư,Đã có sổ,17.2,10,11,1,36,109.5
Quận Tây Hồ,Duplex,Sổ hồng,4.9,2,38,2,56,146
Quận Cầu Giấy,Duplex,Đã có sổ,12,7,19,2,82,135.1
Quận Thanh Xuân,Chung cư,Đã có sổ,14.6,15,23,1,44,109.2
Quận Cầu Giấy,Chung cư,Sổ hồng,4.7,8,29,5,57,146.9
Quận Thanh Xuân,Duplex,Đã có sổ,0.9,26,31,2,122,159.9
Quận Hà Đông,Chung cư,Đã có sổ,19.5,21,12,2,118,105.8
Quận Thanh Xuân,Chung cư,Sổ hồng,19.2,26,5,4,133,102.9
Quận Long Biên,Chung cư,Sổ hồng,6.7,37,6,3,89,127.9
Quận Hà Đông,Chung cư,Sổ hồng,5.2,5,36,4,38,129.5
Quận Thanh Xuân,Duplex,Đã có sổ,3.5,20,16,3,142,161.4
Quận Đống Đa,Chung cư,Sổ hồng,13.9,33,25,3,98,113.6
Quận Cầu Giấy,Chung cư,Sổ hồng,15.2,6,33,4,138,121.5
Quận Long Biên,Chung cư,Sổ hồng,8.7,9,5,1,133,131.6
Quận Cầu Giấy,Chung cư,Sổ hồng,5.2,15,15,5,86,143.9
Quận Tây Hồ,Penthouse,Sổ hồng,9.3,33,21,5,146,155.8
Quận Hai Bà Trưng,Chung cư,Sổ hồng,10.6,27,36,3,84,126.5
Quận Thanh Xuân,Chung cư,Sổ hồng,11.1,33,33,2,138,120
Quận Cầu Giấy,Chung cư,Sổ hồng,9.1,6,5,2,147,146.4
Quận Long Biên,Duplex,Sổ hồng,0.6,8,8,4,94,161.1
Quận Hai Bà Trưng,Chung cư,Sổ hồng,9.7,25,29,4,52,124.4
Quận Hai Bà Trưng,Chung cư,Đã có sổ,7.3,17,8,4,87,144
Quận Hai Bà Trưng,Chung cư,Sổ hồng,11.4,9,10,2,92,127
Quận Cầu Giấy,Chung cư,Sổ hồng,1.9,39,34,4,63,147.9
Quận Hà Đông,Chung cư,Sổ hồng,17.6,28,15,3,59,93.1
Quận Cầu Giấy,Chung cư,Đã có sổ,17.6,13,37,2,56,106.7
Quận Long Biên,Duplex,Sổ hồng,11.5,13,4,5,61,126.2
Quận Đống Đa,Penthouse,Sổ hồng,14.9,37,35,4,137,129.3
Quận Thanh Xuân,Duplex,Đã có sổ,9,7,18,5,65,138.2
Quận Cầu Giấy,Chung cư,Sổ hồng,12,9,31,4,57,128.9
Quận Thanh Xuân,Chung cư,Sổ hồng,12.5,28,39,2,139,125.8
Quận Thanh Xuân,Chung cư,Sổ hồng,7.4,18,12,3,57,131.3
Quận Hai Bà Trưng,Duplex,Sổ hồng,19.2,38,34,5,111,108.5
Quận Đống Đa,Chung cư,Sổ hồng,12.3,35,33,5,130,124.6
Quận Long Biên,Penthouse,Sổ hồng,19.8,17,15,3,74,103.9
Quận Hà Đông,Chung cư,Đã có sổ,8.9,30,18,2,123,129.6
Quận Cầu Giấy,Duplex,Sổ hồng,1.1,13,28,1,107,168.4
Quận Hai Bà Trưng,Chung cư,Sổ hồng,6.4,39,6,4,90,132.8
Quận Hai Bà Trưng,Chung cư,Sổ hồng,13.2,23,30,2,73,118.5
Quận Đống Đa,Chung cư,Sổ hồng,18.3,28,17,3,77,110
Quận Hai Bà Trưng,Penthouse,Sổ hồng,12.5,33,29,5,139,137.2
Quận Hà Đông,Penthouse,Đã có sổ,9.7,4,30,4,118,144.4
Quận Đống Đa,Chung cư,Đã có sổ,2.1,30,26,3,58,153.7
Quận Hà Đông,Chung cư,Sổ hồng,3.3,6,29,3,114,148.8
Quận Cầu Giấy,Duplex,Sổ hồng,1.5,21,25,3,130,168.5
Quận Cầu Giấy,Chung cư,Sổ hồng,14.4,16,15,2,146,133
Quận Cầu Giấy,Chung cư,Đã có sổ,16.7,0,6,3,90,124.8
Quận Đống Đa,Chung cư,Đã có sổ,3.7,31,35,5,139,156.4
Quận Thanh Xuân,Chung cư,Đã có sổ,6.8,2,33,2,147,152.6
Quận Hà Đông,Chung cư,Sổ hồng,9.8,27,4,1,67,119.4
Quận Tây Hồ,Duplex,Đã có sổ,3.3,14,29,3,138,167.4
Quận Thanh Xuân,Chung cư,Sổ hồng,8.6,38,24,1,114,121.2
Quận Hà Đông,Chung cư,Sổ hồng,19.4,39,13,3,83,86.1
Quận Hai Bà Trưng,Chung cư,Sổ hồng,14.5,21,30,5,115,122.8
Quận Thanh Xuân,Chung cư,Đã có sổ,3.8,18,36,4,138,159.7
Quận Cầu Giấy,Chung cư,Đã có sổ,2.4,27,27,5,92,150.9
Quận Thanh Xuân,Chung cư,Đã có sổ,9.2,17,4,3,76,126.2
Quận Cầu Giấy,Chung cư,Đã có sổ,19.8,10,12,3,61,104.9
Quận Tây Hồ,Chung cư,Sổ hồng,16,12,16,3,41,116.1
Quận Long Biên,Chung cư,Đã có sổ,6.2,38,5,1,89,133.5
Quận Đống Đa,Chung cư,Sổ hồng,1,27,11,3,118,165.1
Quận Long Biên,Chung cư,Sổ hồng,8.5,1,34,3,54,131.1
Quận Long Biên,Chung cư,Sổ hồng,3.6,34,32,5,105,133.7
Quận Thanh Xuân,Chung cư,Đã có sổ,4,29,34,1,81,146.9
Quận Long Biên,Chung cư,Đã có sổ,3.7,27,5,4,52,134.5
Quận Đống Đa,Chung cư,Sổ hồng,14.5,38,19,1,146,118.3
Quận Long Biên,Chung cư,Sổ hồng,1.2,32,17,3,128,148.3
Quận Long Biên,Chung cư,Sổ hồng,11.5,30,24,4,133,128.6
Quận Thanh Xuân,Duplex,Sổ hồng,15.2,30,36,1,36,108
Quận Cầu Giấy,Chung cư,Sổ hồng,3.5,9,15,1,49,153.5
Quận Thanh Xuân,Duplex,Sổ hồng,17.9,17,20,2,127,109.7
Quận Hà Đông,Duplex,Sổ hồng,2,30,24,1,137,149.1
Quận Long Biên,Duplex,Sổ hồng,13.8,0,17,1,109,122
Quận Long Biên,Chung cư,Sổ hồng,3.9,25,17,2,123,144.3
Quận Cầu Giấy,Duplex,Sổ hồng,16.2,14,10,2,99,130.4
Quận Hà Đông,Chung cư,Sổ hồng,11.6,6,30,3,110,124.7
Quận Hà Đông,Chung cư,Đã có sổ,12,19,22,1,57,112
Quận Thanh Xuân,Chung cư,Sổ hồng,7.2,20,18,3,37,126.1
Quận Cầu Giấy,Penthouse,Đã có sổ,6,39,24,5,126,155.1
Quận Thanh Xuân,Chung cư,Sổ hồng,9.5,11,33,4,135,140.7
Quận Tây Hồ,Penthouse,Sổ hồng,15.3,21,16,4,89,134.6
Quận Thanh Xuân,Chung cư,Đã có sổ,3.8,8,28,2,148,153.6
Quận Hà Đông,Penthouse,Sổ hồng,16.4,12,21,4,70,112.5
Quận Hai Bà Trưng,Penthouse,Sổ hồng,9.9,34,17,5,44,129.4
Quận Hà Đông,Penthouse,Đã có sổ,9.3,10,31,2,50,140.6
Quận Tây Hồ,Chung cư,Sổ hồng,0.8,13,38,2,149,179.4
Quận Tây Hồ,Duplex,Sổ hồng,2.9,30,36,3,108,161.3
Quận Thanh Xuân,Penthouse,Sổ hồng,8.9,2,26,5,132,156.2
Quận Hà Đông,Chung cư,Sổ hồng,19.6,35,16,1,86,89.4
Quận Thanh Xuân,Chung cư,Sổ hồng,5.4,22,7,2,101,122.5
Quận Thanh Xuân,Chung cư,Sổ hồng,0.7,21,3,1,37,150
Quận Cầu Giấy,Chung cư,Sổ hồng,9,14,37,5,93,140.2
Quận Đống Đa,Duplex,Đã có sổ,0.8,30,31,1,47,153.9
Quận Hà Đông,Chung cư,Đã có sổ,7.1,13,33,1,54,134.4
Quận Cầu Giấy,Chung cư,Sổ hồng,7.4,29,27,2,94,140.1
Quận Thanh Xuân,Chung cư,Sổ hồng,0.5,23,19,4,102,158.8
Quận Tây Hồ,Chung cư,Đã có sổ,15.7,18,8,5,117,128.1
Quận Thanh Xuân,Chung cư,Sổ hồng,18.3,6,29,1,133,109.9
Quận Cầu Giấy,Duplex,Sổ hồng,20,17,15,4,42,99.9
Quận Hà Đông,Chung cư,Sổ hồng,10.4,10,23,3,87,128.3
Quận Tây Hồ,Duplex,Đã có sổ,6.5,24,12,4,122,156.3
Quận Thanh Xuân,Duplex,Sổ hồng,14.5,38,36,4,145,122.2
Quận Hai Bà Trưng,Chung cư,Đã có sổ,14.9,29,17,4,84,122.9
Quận Hai Bà Trưng,Chung cư,Đã có sổ,7.9,11,25,2,122,147.7
Quận Thanh Xuân,Chung cư,Sổ hồng,11.5,20,34,2,99,124.3
Quận Hai Bà Trưng,Chung cư,Đã có sổ,16.5,9,24,1,139,121.6
Quận Hà Đông,Chung cư,Sổ hồng,4.2,33,32,1,69,130.9
Quận Đống Đa,Chung cư,Sổ hồng,0.9,24,29,5,68,149.6
Quận Đống Đa,Penthouse,Sổ hồng,11,22,33,1,137,141.2
Quận Đống Đa,Chung cư,Đã có sổ,13.5,10,6,3,132,136.1
Quận Cầu Giấy,Chung cư,Đã có sổ,11.7,32,36,4,63,124.2
Quận Long Biên,Penthouse,Sổ hồng,12.1,36,27,3,79,122.2
Quận Thanh Xuân,Duplex,Sổ hồng,8.2,20,22,4,40,122.7
Quận Thanh Xuân,Duplex,Sổ hồng,13.2,31,26,1,93,123.1
Quận Cầu Giấy,Duplex,Sổ hồng,1.3,21,25,3,134,172.2
Quận Đống Đa,Chung cư,Đã có sổ,3.4,16,8,4,103,159.1
Quận Hai Bà Trưng,Duplex,Đã có sổ,9.2,35,15,3,87,143.4
Quận Cầu Giấy,Penthouse,Đã có sổ,18.9,27,7,3,106,124.5
Quận Hà Đông,Chung cư,Đã có sổ,13.1,16,3,3,149,123.9
Quận Thanh Xuân,Chung cư,Sổ hồng,7.4,13,35,4,116,144.2
Quận Đống Đa,Chung cư,Sổ hồng,9.4,26,10,4,42,130.1
Quận Cầu Giấy,Chung cư,Sổ hồng,17,6,11,2,82,111.7
Quận Hai Bà Trưng,Chung cư,Sổ hồng,11.1,30,19,2,107,120
Quận Hà Đông,Chung cư,Đã có sổ,1.4,11,33,4,62,147.8
Quận Tây Hồ,Chung cư,Sổ hồng,8.6,1,33,1,114,138
Quận Cầu Giấy,Chung cư,Đã có sổ,8.1,21,8,4,70,137.3
Quận Hà Đông,Chung cư,Đã có sổ,18,7,12,4,81,103.8
Quận Cầu Giấy,Duplex,Đã có sổ,6.5,15,8,1,75,148.2
Quận Tây Hồ,Chung cư,Sổ hồng,1.8,24,17,2,95,162.7
Quận Long Biên,Chung cư,Sổ hồng,7.4,2,3,5,41,137.9
Quận Thanh Xuân,Chung cư,Sổ hồng,1.4,29,26,4,67,145.7
Quận Đống Đa,Chung cư,Đã có sổ,16.7,18,10,2,128,120.9
Quận Long Biên,Chung cư,Đã có sổ,12,28,21,5,55,108.1
Quận Đống Đa,Chung cư,Sổ hồng,9.7,4,32,3,149,144.5
Quận Đống Đa,Duplex,Sổ hồng,7.5,19,36,1,122,144.5
Quận Thanh Xuân,Chung cư,Đã có sổ,8.6,32,31,4,91,137.7
Quận Cầu Giấy,Chung cư,Sổ hồng,15.9,0,4,4,114,121.9
Quận Long Biên,Chung cư,Đã có sổ,4,31,22,2,125,147
Quận Tây Hồ,Chung cư,Sổ hồng,1.9,28,10,5,50,148.1
Quận Đống Đa,Duplex,Đã có sổ,11.5,37,17,3,145,134
Quận Thanh Xuân,Chung cư,Sổ hồng,17.2,22,24,4,80,100.4
Quận Hà Đông,Duplex,Sổ hồng,11.5,9,4,1,37,123.9
Quận Hai Bà Trưng,Chung cư,Sổ hồng,16,11,25,1,126,118.1
Quận Long Biên,Chung cư,Đã có sổ,17.9,34,19,4,54,92
Quận Long Biên,Duplex,Sổ hồng,2,8,15,2,73,156.8
Quận Hai Bà Trưng,Duplex,Đã có sổ,12,10,12,2,108,147.2
Quận Đống Đa,Penthouse,Sổ hồng,16.7,10,31,2,124,132
Quận Cầu Giấy,Chung cư,Đã có sổ,13,37,19,1,99,131.5
Quận Cầu Giấy,Penthouse,Sổ hồng,12,3,13,2,86,139.7
Quận Long Biên,Chung cư,Sổ hồng,15.9,18,34,3,119,111.7
Quận Đống Đa,Duplex,Sổ hồng,14.3,20,7,5,110,123.5
Quận Cầu Giấy,Chung cư,Sổ hồng,10.3,5,8,4,106,143
Quận Cầu Giấy,Chung cư,Sổ hồng,1.4,22,11,3,130,161.2
Quận Hai Bà Trưng,Duplex,Sổ hồng,12.5,38,26,2,80,112
Quận Cầu Giấy,Chung cư,Đã có sổ,4.7,6,8,3,85,152.1
Quận Cầu Giấy,Chung cư,Sổ hồng,5.5,35,3,4,97,143.8
Quận Đống Đa,Duplex,Sổ hồng,13.8,38,30,1,65,117.6
Quận Hai Bà Trưng,Chung cư,Sổ hồng,9.3,14,35,4,78,133.3
Quận Đống Đa,Chung cư,Sổ hồng,14.5,8,21,5,50,118.6
Quận Thanh Xuân,Chung cư,Sổ hồng,8.2,21,35,3,130,134
Quận Hai Bà Trưng,Chung cư,Đã có sổ,17.5,10,37,5,73,101.9
Quận Thanh Xuân,Chung cư,Sổ hồng,8.8,34,8,1,50,123.7
Quận Thanh Xuân,Chung cư,Đã có sổ,10.1,16,37,4,127,135.9
Quận Hai Bà Trưng,Chung cư,Sổ hồng,3,8,22,1,114,155.5
Quận Đống Đa,Chung cư,Sổ hồng,10.3,33,10,3,144,133.6
Quận Long Biên,Chung cư,Đã có sổ,5.2,18,22,2,41,135.5
Quận Đống Đa,Duplex,Sổ hồng,15.4,39,15,1,78,118.4
Quận Đống Đa,Chung cư,Sổ hồng,14.4,29,9,5,94,117.1
Quận Cầu Giấy,Duplex,Sổ hồng,0.8,21,18,5,64,161.7
Quận Hà Đông,Chung cư,Đã có sổ,10.1,25,35,4,110,118.3
Quận Thanh Xuân,Chung cư,Sổ hồng,1.4,29,28,3,92,149.7
Quận Thanh Xuân,Chung cư,Đã có sổ,11.6,11,23,1,40,125.3
Quận Tây Hồ,Duplex,Sổ hồng,18.1,35,13,5,148,123.6
Quận Hà Đông,Chung cư,Sổ hồng,17.4,6,8,2,73,96.5
Quận Long Biên,Duplex,Sổ hồng,5.3,1,25,4,69,143.5
Quận Đống Đa,Chung cư,Sổ hồng,3.2,20,27,3,82,157.4
Quận Long Biên,Duplex,Sổ hồng,15.9,26,18,3,37,105.5
Quận Hà Đông,Chung cư,Đã có sổ,11.2,0,28,3,127,132
Quận Đống Đa,Duplex,Đã có sổ,8.8,13,28,3,104,144
Quận Hà Đông,Chung cư,Sổ hồng,16.3,1,7,1,129,112.8
Quận Thanh Xuân,Chung cư,Đã có sổ,5.4,22,12,5,50,142
Quận Hai Bà Trưng,Chung cư,Đã có sổ,4.9,25,14,1,105,155.5
Quận Thanh Xuân,Chung cư,Sổ hồng,12.4,24,22,3,126,123.1
Quận Cầu Giấy,Chung cư,Sổ hồng,5.8,14,7,5,74,147.5
Quận Đống Đa,Chung cư,Sổ hồng,8.8,28,26,4,130,137.5
Quận Cầu Giấy,Chung cư,Sổ hồng,9.4,27,12,1,109,131.8
Quận Tây Hồ,Penthouse,Đã có sổ,4.5,38,11,3,139,168.5
Quận Tây Hồ,Chung cư,Sổ hồng,1.7,3,15,4,49,154
Quận Tây Hồ,Duplex,Sổ hồng,15.5,29,26,5,66,120
Quận Hà Đông,Penthouse,Đã có sổ,15.8,9,21,2,128,123.6
Quận Cầu Giấy,Penthouse,Sổ hồng,12.2,9,24,5,124,145.7
Quận Tây Hồ,Duplex,Sổ hồng,3.4,21,4,5,36,152.3
Quận Hà Đông,Duplex,Sổ hồng,9.8,15,3,3,148,141
Quận Tây Hồ,Chung cư,Sổ hồng,4,38,5,5,133,159.8
Quận Tây Hồ,Chung cư,Đã có sổ,17.7,39,35,1,89,117.2
Quận Long Biên,Chung cư,Sổ hồng,14.1,12,27,2,53,102.7
Quận Thanh Xuân,Chung cư,Đã có sổ,1.1,38,25,3,74,148.1
Quận Hà Đông,Chung cư,Đã có sổ,0.5,29,8,3,138,158.6
Quận Long Biên,Chung cư,Sổ hồng,19.7,12,21,5,140,104.6
Quận Thanh Xuân,Chung cư,Sổ hồng,1.3,25,12,5,131,148.2
Quận Cầu Giấy,Duplex,Sổ hồng,17.4,30,39,5,49,110.3
Quận Đống Đa,Chung cư,Sổ hồng,19.1,38,20,2,136,103.5
Quận Tây Hồ,Chung cư,Đã có sổ,6.5,26,39,1,143,150
Quận Hai Bà Trưng,Chung cư,Sổ hồng,11,3,35,5,126,140.8
Quận Đống Đa,Chung cư,Sổ hồng,13.1,11,37,4,119,123.5
Quận Cầu Giấy,Penthouse,Đã có sổ,10.6,34,39,5,145,153.6
Quận Đống Đa,Chung cư,Sổ hồng,4.7,38,6,5,138,147.4
Quận Tây Hồ,Chung cư,Sổ hồng,11.8,0,38,4,91,132.2
Quận Cầu Giấy,Chung cư,Sổ hồng,5.5,15,34,2,146,152.3
Quận Hà Đông,Chung cư,Sổ hồng,3.7,21,17,2,69,131.1
Quận Long Biên,Chung cư,Sổ hồng,10.4,35,23,2,124,119.9
Quận Hai Bà Trưng,Chung cư,Sổ hồng,7.8,33,23,5,136,136.1
Quận Hai Bà Trưng,Chung cư,Đã có sổ,1,21,28,2,87,151
Quận Hai Bà Trưng,Chung cư,Sổ hồng,19,13,13,5,81,103.2
Quận Hà Đông,Duplex,Sổ hồng,1.3,2,30,5,135,169.2
Quận Thanh Xuân,Chung cư,Sổ hồng,18.1,37,26,1,108,99.2
Quận Long Biên,Chung cư,Sổ hồng,4.2,12,17,4,63,140.7
Quận Long Biên,Chung cư,Đã có sổ,3.3,1,32,5,75,144.6
Quận Long Biên,Chung cư,Sổ hồng,1.8,39,37,1,88,141.4
Quận Tây Hồ,Penthouse,Sổ hồng,8.8,8,32,2,35,143.1
Quận Hà Đông,Chung cư,Sổ hồng,11.9,34,4,1,145,121.2
Quận Hà Đông,Penthouse,Sổ hồng,18.1,26,29,1,65,111.4
Quận Long Biên,Chung cư,Sổ hồng,15.8,19,11,3,115,110.9
Quận Đống Đa,Duplex,Sổ hồng,3.6,20,39,4,68,149.9
Quận Hai Bà Trưng,Chung cư,Đã có sổ,3.8,5,15,3,90,154.2
Quận Long Biên,Chung cư,Sổ hồng,0.7,28,33,4,53,145
Quận Long Biên,Chung cư,Sổ hồng,13.9,21,39,3,109,111.8
Quận Thanh Xuân,Chung cư,Đã có sổ,0.8,34,25,2,127,159.6
Quận Hà Đông,Chung cư,Sổ hồng,3.2,36,9,3,72,131.7
Quận Cầu Giấy,Chung cư,Sổ hồng,12.9,22,9,3,58,117
Quận Đống Đa,Duplex,Sổ hồng,3.4,28,14,1,68,143.7
Quận Cầu Giấy,Chung cư,Sổ hồng,3.5,39,19,5,88,144.5
Quận Hà Đông,Chung cư,Sổ hồng,5.1,26,6,3,99,134.4
Quận Đống Đa,Duplex,Sổ hồng,8,14,15,1,62,141.3
Quận Thanh Xuân,Chung cư,Sổ hồng,0.7,34,18,3,127,159.9
Quận Đống Đa,Duplex,Sổ hồng,15,26,11,5,149,131.3
Quận Cầu Giấy,Chung cư,Sổ hồng,15.6,11,20,5,146,121.7
Quận Cầu Giấy,Chung cư,Đã có sổ,7.7,7,27,4,76,144.5
Quận Long Biên,Chung cư,Sổ hồng,16.1,33,16,1,98,102.1
Quận Hà Đông,Penthouse,Sổ hồng,6.1,15,31,2,50,143.4
Quận Cầu Giấy,Duplex,Sổ hồng,19.7,35,33,5,141,108.6
Quận Đống Đa,Penthouse,Đã có sổ,8.3,16,4,1,63,139.1
Quận Hai Bà Trưng,Chung cư,Đã có sổ,13.5,24,14,5,36,113.1
Quận Thanh Xuân,Duplex,Đã có sổ,6.8,25,7,3,101,146.6
Quận Đống Đa,Chung cư,Đã có sổ,9.3,16,31,4,82,130.8
Quận Cầu Giấy,Chung cư,Đã có sổ,13.1,37,9,5,124,125.7
Quận Cầu Giấy,Duplex,Đã có sổ,7.3,37,12,2,73,147
Quận Đống Đa,Chung cư,Đã có sổ,13.3,11,17,2,149,139.7
Quận Đống Đa,Chung cư,Sổ hồng,3.3,12,35,3,136,160.7
Quận Đống Đa,Chung cư,Đã có sổ,9.9,5,30,4,44,126.4
Quận Hai Bà Trưng,Duplex,Sổ hồng,5.8,8,30,2,104,153.3
Quận Tây Hồ,Chung cư,Sổ hồng,18.4,21,6,3,90,113.5
Quận Hà Đông,Chung cư,Sổ hồng,16.6,2,13,4,62,101.4
Quận Thanh Xuân,Penthouse,Đã có sổ,10,25,29,2,75,138.9
Quận Long Biên,Chung cư,Sổ hồng,9.3,33,9,3,57,123.3
Quận Thanh Xuân,Chung cư,Sổ hồng,16.8,3,26,1,89,113.6
Quận Hà Đông,Chung cư,Sổ hồng,14,1,26,1,148,123.4
Quận Cầu Giấy,Duplex,Đã có sổ,13.8,35,15,2,35,114.7
Quận Cầu Giấy,Chung cư,Sổ hồng,11.2,12,9,1,87,130.3
Quận Tây Hồ,Chung cư,Đã có sổ,17.3,36,14,4,125,120.9
Quận Long Biên,Chung cư,Đã có sổ,4.2,8,21,5,137,144.2
Quận Hai Bà Trưng,Chung cư,Đã có sổ,17.3,7,34,3,73,115.7
Quận Hà Đông,Chung cư,Sổ hồng,10.7,32,25,4,109,112.4
Quận Cầu Giấy,Chung cư,Đã có sổ,12.6,29,21,1,49,121.2
Quận Cầu Giấy,Chung cư,Sổ hồng,19.3,32,34,5,103,103
Quận Thanh Xuân,Penthouse,Sổ hồng,8.8,16,21,1,93,141.7
Quận Đống Đa,Chung cư,Sổ hồng,13.5,34,36,3,126,121.3
Quận Hai Bà Trưng,Penthouse,Sổ hồng,10.7,23,25,4,94,144
Quận Hai Bà Trưng,Chung cư,Sổ hồng,18.7,21,30,5,98,105.9
Quận Thanh Xuân,Chung cư,Sổ hồng,10,3,23,1,74,119.3
Quận Tây Hồ,Chung cư,Sổ hồng,5.5,8,26,3,114,151.6
Quận Hai Bà Trưng,Penthouse,Đã có sổ,9.9,2,22,5,70,150
Quận Đống Đa,Chung cư,Sổ hồng,18.4,15,34,3,136,106.8
Quận Đống Đa,Penthouse,Sổ hồng,10.3,37,16,3,120,137.4
Quận Hà Đông,Chung cư,Sổ hồng,3.3,6,35,2,81,146.3
Quận Thanh Xuân,Chung cư,Sổ hồng,11.1,19,5,1,56,116.8
Quận Hà Đông,Chung cư,Sổ hồng,8.1,17,36,1,57,124.9
Quận Hai Bà Trưng,Chung cư,Sổ hồng,13.2,31,17,5,47,110.8
Quận Cầu Giấy,Chung cư,Sổ hồng,5.2,10,38,2,131,161.4
Quận Cầu Giấy,Chung cư,Sổ hồng,6.8,29,28,3,105,144.7
Quận Cầu Giấy,Chung cư,Sổ hồng,10.6,23,11,4,123,129.5
Quận Cầu Giấy,Chung cư,Sổ hồng,2.8,26,16,1,103,153.9
Quận Long Biên,Chung cư,Sổ hồng,4.6,30,11,1,77,131
Quận Hai Bà Trưng,Chung cư,Đã có sổ,16.1,5,35,1,94,108.9
Quận Hà Đông,Chung cư,Đã có sổ,18.8,26,30,5,97,96.9
Quận Cầu Giấy,Chung cư,Sổ hồng,19.4,14,5,3,54,102.3
Quận Hà Đông,Chung cư,Sổ hồng,18.8,12,25,5,142,104.7
